route_id,route_name
215000176,80
215000177,80-1
236000222,3006
215000179,80-3
228000408,Y1202
241002210,5802광주광역-이천
241007215,N4000
215000204,51-8
216000036,31
222000136,1000-2
204000101,115
222000138,83
204000103,111
222000141,99
222000142,99-1
222000143,99-2
204000100,109
241002290,3806이천-청주
218000074,085
218000075,054
218000076,053
218000077,052
218000078,055
218000079,051
218000080,033
218000081,097
218000082,098
218000083,099
218000084,021
218000085,020
218000086,070
218000087,078
218000088,040
228000001,66
240000008,2000-2
218000089,041
218000090,042
218000091,045
218000092,048
218000093,075A
218000094,047
218000095,075B
218000096,046
218000097,038
218000098,050
218000099,010
218000100,039
241005910,5100신흥동-김포공항
241005880,8843-1마석-인천공항
241002600,9335인천-이천
233000142,6002-1
219000003,33
222000189,땡큐70
241003990,9701안동-인천공항
232000082,1
219000010,55-2
218000059,022
228000410,Y1302
219000017,76
219000019,20
200000255,27-1
239000076,40-3
220000011,31-20
241005070,8509
220000017,1
220000018,2
220000019,3
220000020,3-1
220000021,5
214000059,84-3
234000477,29-3
221000005,36-11
221000019,15-5
221000020,15-6
221000021,15-5
221000022,15-6
221000023,15-5
221000024,15-6
234000473,29-1
221000026,6
230000180,220
214000062,84-1
221000029,2-1
214000061,84-2
214000115,84-4
204000173,811
222000212,5-3
214000153,84-5
222000207,30-19
241007059,7600동대구-진해
233000322,G6009
217000001,1
228000071,71-1
214000020,1372
233000183,20-3(대광1차A)
228000159,9
229000072,G7111
229000274,3100N
239000006,43
229000041,150
222000025,10-6
239000055,30-4
229000061,2200
214000019,1371
207000059,23-1
228000201,72
228000056,71-2
233000136,6002
222000036,30-5
222000037,30-6
228000066,71
222000039,30-8
222000044,1115-7
241001130,8235부천-원주
232000113,8
232000114,8-1
222000051,3
222000053,8
222000144,99-2출퇴근
222000145,99-2단축
222000146,88-1
222000147,88-2
222000148,88-3
222000149,77
222000150,80
222000151,82A
222000152,82B
222000153,2
222000154,2-2
222000155,2-1
222000156,88
222000157,61
222000158,65
222000159,60
222000160,63
222000161,64
222000162,33
222000163,33-1
222000164,85
222000166,2017
221000027,7
241006380,8227시흥-강릉
241000920,1336-1동서울-청주
222000171,25
222000172,26
210000100,013-4
241000460,8133동서울-여주
200000315,7-1A
241000770,1327동서울-꽃동네
200000295,M5443예약
241006390,8228부천-강릉
241004670,8415안산-평택
200000016,50-2
241007002,1328동서울-대소-음성
233000273,8471
223000004,70
200000150,7800
241101730,8395수원-제천
221000028,2
223000021,70-2
221000038,7-1
241001100,8515부천-목포
221000039,2-2
223000025,77
223000026,50
241007094,9505인천-익산
223000029,111-2
223000031,700
222000054,8-1
241106795,1236-1서울-속초
241006782,3501대전-전주
239000082,30-2
241006650,1343서울-조치원
222000062,30-13
233000013,2
215000206,91-1
215000038,1-8
222000071,3-3
241006795,1236서울-속초
234000482,21-11
233000029,2-4
236000211,11-1
215000207,91-2
236000207,11
222000086,30-17
222000087,30-18
222000094,5
222000097,8
207000027,36
222000099,99
222000102,6-3
222000103,6-5
222000104,91-1
238000001,35
222000106,2
222000109,330-3
236000219,9-1
222000112,13
222000113,13-2
222000114,13-4
222000115,13-5
222000116,13-6
222000117,13-7
222000118,13-8
222000119,13-1
222000120,13-3
222000121,13-9
222000123,1115
222000124,8-2
222000125,74
222000126,1000-3
222000127,8002-2
222000128,2000-2
222000129,7007-2
222000130,1000-2
222000132,167-2
222000134,55-1
222000135,2015
241005950,7400중산마을-인천공항
234001526,32-2
234001657,37-3B
204000178,반디3
234000798,38-2
224000018,20
204000179,반디4
234001021,38-42
234001695,G3202
234000878,8100
224000023,31-1
234001735,2-7
224000025,63-1
224000026,20-2
234001656,37-3A
234001620,37-21
210000105,33
233000277,H67
224000031,37
224000032,120
241006050,5600문산-공항
241004250,3003도봉산-화지
234001737,8202
224000039,50
224000041,28-1
224000042,29-1
224000043,1
224000044,2
229000117,77-2
229000118,77-3
224000048,28-1
224000049,29-1
204000133,50-1
205000001,70
225000002,5
225000003,10
233000364,P9530(퇴근)
229000199,066
226000003,06
226000004,06-1
226000005,10-1
226000006,10
226000007,01
226000008,05
226000009,02
226000010,05-1
226000012,11
226000013,12
226000014,13
226000015,09C
226000018,09B
226000019,07B
226000020,07C
226000021,07D
240000178,50-2
234000476,24-5
234001697,6600
241007077,4300-1
234001475,28-83
240000128,1-41
223000130,30
204000107,8
222000012,202-1
200000056,25-2
204000154,78
227000025,6-1
227000026,7
227000027,8
227000028,2
227000029,20
227000030,2-1
227000031,1
227000032,7-1
227000033,50
227000034,5
232000047,8600
223000138,C1
204000108,77
223000139,C1
222000008,88
227000041,1
227000042,2
218000117,3400
214000251,315
234001388,952-3
218000015,M7119
228000014,20-1
237000100,953
222000175,99-1
204000018,100
234001014,36-10
234001495,953-2
241001770,8412안산-이천
234000040,119
234001499,953-3
234001590,1-22
228000065,91-2
237000054,960
234001560,912-4
241001120,8440부천-이천
228000083,93-2
222000203,1640
227000046,초이-01
228000098,83-1
228000101,86
228000107,96
237000059,961
234001403,961-1
241001630,8213수원-강릉
228000123,86-1
228000135,85-1
241007220,1351
228000142,94
228000144,94-1
228000145,85
215000203,1-9
241006951,1713-1동서울-포항(왜관)
228000150,97-1
233000096,27
241003030,1355동서울-연풍
233000049,8-2
223000034,7-2
223000040,7-6
223000048,10-1
223000049,10-4
223000051,7-7
221000036,1-8
223000057,72
233000057,8-1
223000071,78
241007062,8238-1평택-태백
215000202,1-4
234001537,28-55
241007053,4603안양-진주
223000083,710
223000084,720
241100050,9322인천-진천
223000089,220
240000019,6-3
223000095,711
223000096,221
223000097,230
223000098,222
241007243,N8842 광주-인천공항
232000112,82
223000101,200-1
223000102,202-1
223000103,8-1
223000104,7-1
240000036,9-3
223000106,7-3
223000109,90-1
223000093,200
234000884,1560
999000107,2222
223000110,90-2
223000112,77
223000114,500
223000115,100
223000116,123
223000117,10
223000118,88
223000119,53
234000556,35-3
241007212,N7200의정부-인천공항(고양)
234001235,8906
223000123,57
223000124,56-2
223000125,56
223000126,55
241007132,8608-1수원-울산
241007214,N7200-1(고양)
234001594,38-85
234001294,912
234001146,35-7
214000021,1108
234000132,2-2
234001203,1113-10
234001548,981-5
200000317,수원똑버스01
224000006,31-5
229000081,350
240000131,1-33
229000086,19-1
237000087,929-1
228000402,101
229000096,2300
222000065,30-20
229000098,777번
229000099,2000-1번
240000149,1-53
216000008,71-2
229000104,22-2
229000105,2500
229000106,351
229000107,16
222000198,30-21
240000132,1-43
228000167,83-3
235000011,75
228000170,2-1
228000172,85-2
214000260,평택똑버스01
240000150,1-63
222000040,30-12
241007055,8707안산-점촌
215000094,56-3
215000229,61
215000210,81-1
228000185,5800
228000189,81-1
240000179,77-4
241000510,1503 동서울-여수
241001741,8231-1안산-강릉
241000550,1706동서울-안동
241003670,8514성남-여수
240000004,1-7
999000108,3333
228000205,72-1
200000108,3003
249000001,개성공단
200000146,80
240000163,88-1
228000212,76-10
241006876,8207여주-원주
228000215,75-1
228000216,3-1
240000153,77-8
240000162,77-10
241006995,1231동서울-양평-홍천
228000237,13-1
228000243,82-2
228000244,87-2
228000245,87-3
228000247,87-1
204000040,340
200000077,5-1
204000039,330
240000160,77-1
228000257,98
240000159,77
240000155,22-2
228000260,14-2
228000261,13
234001145,35-4
228000225,76-11
228000264,89-1
228000265,6-1
208000068,M5556
234000083,12
241006908,8506수원-무안
234001705,3800
234001292,911-1
228000272,74-1
215000217,53-4
234000996,39-1
228000275,100
229000271,운정DRT
240000183,22-6
213000019,3002
228000279,2-2
228000280,77-1
234001573,38-52
228000282,5000-1
228000283,5005-1번
228000284,5005-1
229000013,17
227000009,80
227000013,82
227000014,83
241007032,3901증평-인천공항
227000018,82
234001034,35-36
227000020,100
227000021,3
227000022,3-1
227000023,10
227000024,6
228000312,5-1
228000313,99
228000314,88A
228000315,88B
228000316,35
228000317,35-1
228000318,35-2
228000319,35-3
228000320,23
228000321,20
228000322,23-1A
228000323,20-1A
228000324,23-2
228000325,20-2
228000326,20-1B
228000327,23-1B
228000328,22
228000329,40
228000330,57
228000331,57-1
228000332,59
228000333,25-1
228000334,24
228000335,39
228000336,39-1
228000337,57-2
228000338,29
228000339,59-1
228000340,39-2
228000341,39-3
228000342,33
228000343,34
228000344,36
228000345,31
228000346,28
228000347,33-1
228000348,31-1
228000349,34-1
228000350,34-2
228000351,28-1
228000352,54
228000353,19
228000354,51
228000355,51-1
228000356,18(A)
228000357,32
228000358,38
228000359,52
228000360,53
228000361,30
228000362,55
228000363,56
228000364,58
228000365,17(A)
228000366,17(B)
228000367,28-2
228000368,58-1
228000369,38-1
228000370,18(B)
228000371,28-3
228000372,45A
228000373,45B
228000375,5-1
228000376,26
228000377,21
228000378,26-1
228000379,21-1
228000380,26-2
228000381,21A
228000382,49
228000383,50
228000384,25
234000065,1005
224000024,520
234001545,930-8
234001680,912-6
222000216,58
234001027,38-14
234001010,36-9
234001684,36-8B
229000006,14
229000008,15
229000009,19
241002910,8136동서울-송탄
229000011,30-1
241007079,3804천안-이천
234001685,36-52
229000109,94
229000110,77-1
237000101,950
241002710,3803아산-이천
229000113,10-1
229000115,2100
234001624,907
234001603,950-1
234001550,950-3
229000119,77-4
229000120,77-5
237000099,952
229000122,14-3
229000123,14-2
229000124,14C
234001379,952-1
234000514,29-5
226000031,21-1
200000275,27-6
200000149,7790
200000283,3000(예약)
215000150,58-8
222000030,65-1
215000141,62-2
220000012,6
241006953,3300성남-연천
229000141,14-1
229000144,063
222000047,168
214000247,9-2
229000014,12-1
229000016,11-3
214000189,9-1
214000268,1353
229000019,50
217000005,511
229000031,91
214000051,35
200000301,999(임시)
234000755,22-1
234000317,32-1
229000037,51
234000009,32
200000305,400(임시2)
229000040,73
231000071,3-11
235000025,81-2
225000006,31
229000047,1-1
229000048,500
229000049,100-8
229000050,100-94
229000051,100-10
229000052,100-11
229000053,100-88
229000054,100-9
229000055,100-87
229000056,100-86
229000057,100-7
229000058,1-2
229000059,1-3
234000547,27-4
234001105,27-21
234001102,27-10
229000066,550
234000533,25-5
229000078,77
233000041,11
241004590,6803해운대-동두천
241003940,6802부산-이천
241004480,8369강화-충주
230000003,13-1
241000820,8147안산-동서울
214000113,17
241007204,1101
230000090,24-21
239000072,20-4
230000099,22-5
239000045,20-3
241007060,8114서초-평택
230000108,23-10
230000109,22-22a
239000065,20-2
238000034,35
241001050,8550부천-광주
238000035,35-1
238000036,35-2
230000121,24
238000044,67-1
239000044,20-1
230000125,24-42
230000126,21-7
230000133,24-71
230000134,24-72
230000139,24-21
230000141,22-62
230000146,28-18
230000147,24-13
230000148,20-22
230000149,217
230000150,219
230000151,203
230000152,201
230000153,202
230000154,206
230000155,211
230000156,212
230000157,216
230000158,234
230000159,235
230000160,205
230000161,231
230000162,232
230000163,233
230000164,242
230000165,243
230000166,245
230000167,246
230000168,247
230000169,248
230000170,251
230000171,252
230000172,253
230000173,272
230000174,273
230000175,208
230000177,21-17
228000278,11-1
228000270,105
228000149,103
231000009,88
231000010,88-1
228000288,80
228000289,80-1
228000290,80-2
228000291,810
228000292,810-1
228000293,810-2
228000294,11
228000295,15
228000296,17(A)
228000297,17-1
228000298,15-1
228000299,17(B)
228000300,14-1
228000301,14
228000302,15-2
228000303,14-2
228000304,15-3
228000305,1
228000306,16
228000307,5
228000308,82
228000309,2-1
228000310,82-1
228000311,1-1
234001730,8201
231000036,60-2
234001653,36-51B
231000039,20-4
241007057,8719수원-예천
234001686,36-13A
231000043,20-7
234001025,35-35
234001279,35-20
241007152,8609수원-포항
241001540,8526성남-정읍
231000052,50-4
231000055,50-9
241006807,3001-1동서울-동송
231000057,60-4
234001568,721
231000060,35-1
231000061,3-2
231000062,3-1
233000266,6003
231000065,3-4
231000066,3-6
240000056,4-7
207000052,1-5
231000070,3-9
240000190,77-3
240000188,77-6
207000016,1
229000254,75-2
241006941,1304-1동서울-충주
231000076,2-7
231000079,10-1
231000080,10-3
214000246,50-9
231000083,10-5
231000084,5-4
231000089,370-1
231000091,38-2
231000095,2-9
241006821,3007성남-와수리
231000104,2-10
241006999,1303동서울-음성
228000406,78
228000020,7
241002840,2201태백-원주
231000112,1-10
231000113,5-6
231000114,20-5
231000115,60-5
215000178,80-2
231000120,55-1
241006942,1304동서울-목계-충주
228000266,16
231000123,17-1
231000124,17-2
228000374,5
222000131,30-5
231000127,3-6
229000147,075
222000064,30-10
222000063,30-11
229000151,035
229000153,034내포리
229000154,034축현리
229000155,064쌍둥이
229000156,064재활용
229000157,088중학교
215000215,82-6
229000159,084
216000045,8407
229000164,092-2석장
229000165,092-3장남
229000166,092-3구미
229000167,092-3전동
229000168,092-3원당A
229000169,092-3원당B
229000170,092-3학곡
229000171,092-2백학
229000172,092-3주월
229000173,051
229000174,051B
229000175,052
229000176,050
229000177,058임진각행
229000178,058마정행
229000179,058운천행
229000180,058운천+임진각행
229000181,030탄현A
229000182,032
229000183,030A
232000119,11
224000061,6502
240000141,8-33
200000098,2
216000010,99-1
200000100,55
224000015,98
228000183,5002B
228000394,5002A
234000044,520
223000122,33
217000007,99
241004360,9311인천-제천
234000805,38
216000088,9-1
200000111,5200
223000137,99번(학통)
234001660,M5438
216000084,90
200000121,40-1
200000122,999-1
200000123,40
200000124,1560-1
200000129,25-1
200000132,303
223000121,33-1
223000120,99
215000104,50-5
223000144,9(학통)
223000099,8
204000112,7-1
200000143,13-3
215000111,51-12
228000184,5600
200000147,27-1
229000246,7300
215000220,90-5
229000255,3100
236000226,9-2
200000156,3800
236000153,9
200000158,27-5
200000163,8
200000164,81
200000166,1
200000172,99-1
236000140,8
200000176,82
200000184,13-6
241007205,1801
200000189,20-2
200000190,47
200000191,7900
224000021,28
200000197,85
200000107,88
200000200,57
200000201,9-2
200000090,13-5
200000203,62
